Customer [accnum=20190000, name=祁成, sex=男         , address=海南省安康市伊春区白城路146号真新六街坊, phonenum=15338603282]
Customer [accnum=20190001, name=胥航翔, sex=男         , address=海南省白山市友好区安汾路71号溢盈河畔别墅, phonenum=15335323108]
Customer [accnum=20190002, name=鲜蕊, sex=女         , address=山西省巴彦淖尔市美溪区安义路151号耀江花园, phonenum=18789833351]
Customer [accnum=20190003, name=佴建, sex=女         , address=山东省安阳市金山屯区安义路165号东新大厦, phonenum=13710416101]
Customer [accnum=20190004, name=水凤佳, sex=男         , address=海南省白山市友好区安仁路92号复华城市花园, phonenum=18587989327]
Customer [accnum=20190005, name=姜行, sex=男         , address=辽宁省安康市伊春区巴林路148号金色家园, phonenum=18602552536]
Customer [accnum=20190006, name=凤心贵, sex=女         , address=台湾省白山市友好区宝源路179号爱里舍花园, phonenum=15792188440]
Customer [accnum=20190007, name=空媛凤, sex=男         , address=台湾省巴彦淖尔市美溪区安远路172号博泰新苑, phonenum=15356186684]
Customer [accnum=20190008, name=壤鸣强, sex=男         , address=江西省安庆市带岭区百花街134号和亭佳苑, phonenum=13296704452]
Customer [accnum=20190009, name=申震, sex=男         , address=吉林省巴彦淖尔市美溪区安仁路79号协通公寓, phonenum=13383895408]
Customer [accnum=20190010, name=诸盛勇, sex=女         , address=湖北省安阳市金山屯区安业路99号金色家园, phonenum=18649622141]
Customer [accnum=20190011, name=阳祥, sex=女         , address=河南省保山市榆次区澳门路5号金色家园, phonenum=18946006346]
Customer [accnum=20190012, name=羿柔娥, sex=男         , address=黑龙江省安阳市金山屯区鞍山支路24号溢盈河畔别墅, phonenum=13298213865]
Customer [accnum=20190013, name=陈信, sex=女         , address=湖南省蚌埠市五营区澳门路55号菊园五街坊, phonenum=13669626625]
Customer [accnum=20190014, name=韦松达, sex=男         , address=江西省保定市乌伊岭区宝源路111号复华城市花园, phonenum=13906386208]
Customer [accnum=20190015, name=濮树裕, sex=女         , address=湖北省安顺市南岔区巴林路6号复华城市花园, phonenum=15733731794]
Customer [accnum=20190016, name=金士, sex=女         , address=青海省包头市红星区白城路6号菊园五街坊, phonenum=15142561303]
Customer [accnum=20190017, name=邢素荷, sex=女         , address=云南省安庆市带岭区安汾路137号博泰新苑, phonenum=15952411640]
Customer [accnum=20190018, name=公慧彩, sex=男         , address=江西省安阳市金山屯区包头路163号博泰新苑, phonenum=18822835741]
Customer [accnum=20190019, name=相元钧, sex=女         , address=贵州省百色市上甘岭区安远路132号溢盈河畔别墅, phonenum=18677045901]
Customer [accnum=20190020, name=梁宏言, sex=男         , address=海南省安庆市带岭区白城南路9号爱里舍花园, phonenum=13924850579]
Customer [accnum=20190021, name=帅仁, sex=男         , address=陕西省安庆市带岭区巴林路167号东新大厦, phonenum=15829857071]
Customer [accnum=20190022, name=苗爽, sex=男         , address=山东省包头市红星区巴林路183号金色家园, phonenum=13468726202]
Customer [accnum=20190023, name=芮涛梁, sex=男         , address=浙江省巴中市乌马河区百官街52号爱里舍花园, phonenum=13495470933]
Customer [accnum=20190024, name=通晶, sex=女         , address=陕西省包头市红星区安亭路126号耀江花园, phonenum=15930829707]
Customer [accnum=20190025, name=闵功, sex=女         , address=四川省安庆市带岭区百花街107号金色家园, phonenum=18751943998]
Customer [accnum=20190026, name=冷希, sex=男         , address=湖北省百色市上甘岭区安边路37号住友嘉馨名园, phonenum=15500118895]
Customer [accnum=20190027, name=伏纨, sex=女         , address=台湾省蚌埠市五营区宝通路76号复华城市花园, phonenum=18742109008]
Customer [accnum=20190028, name=罗聪澜, sex=女         , address=河南省保定市乌伊岭区白玉路188号真新六街坊, phonenum=13636818031]
Customer [accnum=20190029, name=伏勤, sex=男         , address=湖北省保山市榆次区白渡路46号博泰新苑, phonenum=13773731785]
Customer [accnum=20190030, name=孙玉羽, sex=女         , address=河北省安康市伊春区百官街37号博泰新苑, phonenum=18873443782]
Customer [accnum=20190031, name=慎冠, sex=男         , address=安徽省保山市榆次区安汾路165号爱里舍花园, phonenum=18502981270]
Customer [accnum=20190032, name=时馥, sex=女         , address=青海省白银市新青区安国路115号金色家园, phonenum=13860449121]
Customer [accnum=20190033, name=巩时, sex=男         , address=黑龙江省巴彦淖尔市美溪区白渡桥87号爱里舍花园, phonenum=18916771142]
Customer [accnum=20190034, name=应盛厚, sex=男         , address=青海省白山市友好区保定路54号耀江花园, phonenum=15686952719]
Customer [accnum=20190035, name=鲍梦, sex=男         , address=青海省包头市红星区安国路196号协通公寓, phonenum=15371975015]
